time,lux,hum,temp
2026-06-19 12:05:00+00:00,36.5,94,25.8
2026-06-19 12:10:00+00:00,36.2,94,25.8
2026-06-19 12:15:00+00:00,37.3,94,25.8
2026-06-19 12:20:00+00:00,36.9,94,25.8
2026-06-19 12:25:00+00:00,41,94,25.9
2026-06-19 12:30:00+00:00,38.9,94,26
2026-06-19 12:35:00+00:00,44,93,26
2026-06-19 12:45:00+00:00,37.6,93,25.9
2026-06-19 12:50:00+00:00,45.1,93,25.9
2026-06-19 12:55:00+00:00,37.5,93,25.9
2026-06-19 13:00:00+00:00,38.3,94,26
2026-06-19 13:05:00+00:00,42,94,26
2026-06-19 13:10:00+00:00,45.9,94,26
2026-06-19 13:15:00+00:00,37.5,94,26
2026-06-19 13:20:00+00:00,38.4,95,26
2026-06-19 13:25:00+00:00,38.9,95,25.9
2026-06-19 13:30:00+00:00,39.3,95,25.9
2026-06-19 13:35:00+00:00,39.9,95,25.9
2026-06-19 13:40:00+00:00,41,95,25.9
2026-06-19 13:45:00+00:00,39.9,95,25.9
2026-06-19 13:50:00+00:00,40.4,95,25.9
2026-06-19 13:55:00+00:00,38.3,95,25.9
2026-06-19 14:00:00+00:00,38.9,95,26
2026-06-19 14:05:00+00:00,42.1,95,26
2026-06-19 14:10:00+00:00,41.9,95,26
2026-06-19 14:15:00+00:00,40.5,95,26.1
2026-06-19 14:20:00+00:00,40.1,95,26.1
2026-06-19 14:25:00+00:00,39.2,95,26.1
2026-06-19 14:30:00+00:00,39.2,95,26.1
2026-06-19 14:35:00+00:00,39.1,95,26.2
2026-06-19 14:40:00+00:00,41.4,95,26.2
2026-06-19 14:45:00+00:00,38.6,95,26.2
2026-06-19 14:50:00+00:00,42.8,95,26.2
2026-06-19 14:55:00+00:00,40.4,95,26.2
2026-06-19 15:00:00+00:00,43.6,95,26.2
2026-06-19 15:05:00+00:00,39,95,26.2
2026-06-19 15:10:00+00:00,39.4,95,26.1
2026-06-19 15:15:00+00:00,40.7,95,26.2
2026-06-19 15:20:00+00:00,40.4,95,26.2
2026-06-19 15:25:00+00:00,38.5,95,26.2
2026-06-19 15:30:00+00:00,38.6,95,26.2
2026-06-19 15:35:00+00:00,40.1,95,26.2
